subaward_action_date,top_subawardee_name,subaward_amount
2021,Others,425923.0
2021,Ducommun Labarge Technologies,134669.0
2020,Pacific Scientific Energetic Materials Company (California),705374.0
2020,Others,992415.0
2020,Ducommun Labarge Technologies,100742.0
2020,Alliant Techsystems Operations,885284.0
2019,Others,4701491.0
2019,Alliant Techsystems Operations,4325112.0
2018,Pacific Scientific Energetic Materials Company (California),8083143.0
2018,Others,26763314.0
2018,Ducommun Labarge Technologies,4994215.0
2017,Tri Models,4994498.0
2017,Pacific Scientific Energetic Materials Company (California),1152900.0
2017,Others,11119219.0
2017,Orbital Sciences,13148194.0
2017,Ensign-Bickford Aerospace & Defense Company,9999774.0
2017,Aerojet Rocketdyne,5868546.0
2016,Orbital Sciences,3903690.0
2016,Others,82290.0
2016,Alliant Techsystems Operations,551951711.0
